2015-05-20 23:56:42 install libapache2-mod-php5:amd64 <aucune> 5.6.7+dfsg-1
2015-05-20 23:56:42 status half-installed libapache2-mod-php5:amd64 5.6.7+dfsg-1
2015-05-20 23:56:43 status unpacked libapache2-mod-php5:amd64 5.6.7+dfsg-1
2015-05-20 23:56:43 status unpacked libapache2-mod-php5:amd64 5.6.7+dfsg-1
2015-05-20 23:56:43 install php5:all <aucune> 5.6.7+dfsg-1
2015-05-20 23:56:43 status half-installed php5:all 5.6.7+dfsg-1
2015-05-20 23:56:44 status unpacked php5:all 5.6.7+dfsg-1
2015-05-20 23:56:44 status unpacked php5:all 5.6.7+dfsg-1
2015-05-20 23:56:44 install php5-readline:amd64 <aucune> 5.6.7+dfsg-1
2015-05-20 23:56:44 status half-installed php5-readline:amd64 5.6.7+dfsg-1
2015-05-20 23:56:44 status unpacked php5-readline:amd64 5.6.7+dfsg-1
2015-05-20 23:56:44 status unpacked php5-readline:amd64 5.6.7+dfsg-1
2015-05-20 23:56:44 trigproc man-db:amd64 2.7.0.2-5 <aucune>
2015-05-20 23:56:44 status half-configured man-db:amd64 2.7.0.2-5
2015-05-20 23:56:46 status installed man-db:amd64 2.7.0.2-5
2015-05-20 23:56:46 startup packages configure
2015-05-20 23:56:46 configure libmagic1:amd64 1:5.22+15-2 <aucune>
2015-05-20 23:56:46 status unpacked libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:46 status unpacked libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:46 status unpacked libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:46 status half-configured libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:46 status installed libmagic1:amd64 1:5.22+15-2
2015-05-20 23:56:46 status triggers-pending libc-bin:amd64 2.19-18
2015-05-20 23:56:46 configure libonig2:amd64 5.9.5-3.2 <aucune>
2015-05-20 23:56:46 status unpacked libonig2:amd64 5.9.5-3.2
2015-05-20 23:56:46 status half-configured libonig2:amd64 5.9.5-3.2
